status,date,place_name,round,deadline_time,race_id,best_manshu_rate_pct,base_manshu_rate_pct,composite_edge_base_rate_pct,composite_edge_bonus_pct,composite_edges,best_recent_rate_pct,best_condition,matched_logic_count,payout,trifecta,b1_ai_prediction_pct,b1_ai_plus,b1_ai_plus_order,b1_nige_pct,b1_loss_pct,b1_avg_isshu_diff,b1_tenji_time,b1_isshu_time,outer56_best_avg_isshu_diff,outer56_best_ai_prediction_pct,outer56_best_tenji_time,outer56_best_isshu_time,ai_rank6_boat,ai_rank6_avg_isshu_diff,ai_rank6_tenji_rank,ai_rank5_boat,ai_rank5_avg_isshu_diff,ai_rank5_tenji_rank,double_time_boats,boat1_double_time,mid234_double_time_count,outer46_double_time_count,outer56_double_time_count,wind_speed,wave_height,tenji_boats,isshu_boats
展示待ち,2026-06-19,若松,2,2026-06-19T18:08:00+09:00,2026-06-192002,30.31,30.31,,0,[],28.28,会場: 若松 × 1号艇差され+まくられ率>=30% × 展示: 1号艇展示順位4〜6位 × 展示: 5/6号艇に1周2位以内,55,,,,,,30.56,38.89,,,,,,,,,,,,,,,0,0,0,0,,,0,0
展示待ち,2026-06-19,若松,12,2026-06-19T22:54:00+09:00,2026-06-192012,30.31,30.31,,0,[],28.28,会場: 若松 × 1号艇差され+まくられ率>=30% × 展示: 1号艇展示順位4〜6位 × 展示: 5/6号艇に1周2位以内,51,,,,,,33.33,50.0,,,,,,,,,,,,,,,0,0,0,0,,,0,0
展示待ち,2026-06-19,宮島,7,2026-06-19T13:53:00+09:00,2026-06-191707,28.29,28.29,,0,[],30.0,会場: 宮島 × 1号艇逃げ率<50% × 1号艇差され+まくられ率>=40% × 展示: 5/6号艇が2艇とも展示/1周2位以内 × 展示: 5/6号艇の展示が1号艇より0.03秒以上速い,15,,,,,,29.17,45.84,,,,,,,,,,,,,,,0,0,0,0,,,0,0
展示待ち,2026-06-19,宮島,8,2026-06-19T14:25:00+09:00,2026-06-191708,28.29,28.29,,0,[],30.0,会場: 宮島 × 1号艇逃げ率<50% × 1号艇差され+まくられ率>=40% × 展示: 5/6号艇が2艇とも展示/1周2位以内 × 展示: 5/6号艇の展示が1号艇より0.03秒以上速い,15,,,,,,14.81,59.26,,,,,,,,,,,,,,,0,0,0,0,,,0,0
展示待ち,2026-06-19,宮島,10,2026-06-19T15:30:00+09:00,2026-06-191710,28.29,28.29,,0,[],30.0,会場: 宮島 × 1号艇逃げ率<50% × 1号艇差され+まくられ率>=40% × 展示: 5/6号艇が2艇とも展示/1周2位以内 × 展示: 5/6号艇の展示が1号艇より0.03秒以上速い,15,,,,,,26.92,50.0,,,,,,,,,,,,,,,0,0,0,0,,,0,0
展示待ち,2026-06-19,若松,3,2026-06-19T18:34:00+09:00,2026-06-192003,27.99,27.99,,0,[],26.28,会場: 若松 × 1号艇逃げ率<50% × 展示: 1号艇展示順位4〜6位 × 展示: 5/6号艇に1周2位以内,5,,,,,,47.83,26.08,,,,,,,,,,,,,,,0,0,0,0,,,0,0
展示待ち,2026-06-19,宮島,3,2026-06-19T11:43:00+09:00,2026-06-191703,27.4,27.4,,0,[],34.04,会場: 宮島 × 1号艇差され+まくられ率>=30% × 展示: 1号艇展示順位4〜6位 × 展示: 5/6号艇が2艇とも展示/1周2位以内 × 展示: 5/6号艇の展示が1号艇より0.05秒以上速い,10,,,,,,11.11,38.89,,,,,,,,,,,,,,,0,0,0,0,,,0,0
展示待ち,2026-06-19,宮島,6,2026-06-19T13:23:00+09:00,2026-06-191706,27.4,27.4,,0,[],34.04,会場: 宮島 × 1号艇差され+まくられ率>=30% × 展示: 1号艇展示順位4〜6位 × 展示: 5/6号艇が2艇とも展示/1周2位以内 × 展示: 5/6号艇の展示が1号艇より0.05秒以上速い,10,,,,,,41.03,38.46,,,,,,,,,,,,,,,0,0,0,0,,,0,0
展示待ち,2026-06-19,宮島,4,2026-06-19T12:12:00+09:00,2026-06-191704,27.4,27.4,,0,[],34.04,会場: 宮島 × 1号艇差され+まくられ率>=30% × 展示: 1号艇展示順位4〜6位 × 展示: 5/6号艇が2艇とも展示/1周2位以内 × 展示: 5/6号艇の展示が1号艇より0.05秒以上速い,7,,,,,,48.48,33.33,,,,,,,,,,,,,,,0,0,0,0,,,0,0
展示待ち,2026-06-19,宮島,9,2026-06-19T14:57:00+09:00,2026-06-191709,27.21,27.21,,0,[],34.04,会場: 宮島 × 1号艇逃げ率<50% × 展示: 1号艇展示順位4〜6位 × 展示: 5/6号艇が2艇とも展示/1周2位以内 × 展示: 5/6号艇の展示が1号艇より0.05秒以上速い,2,,,,,,41.18,26.47,,,,,,,,,,,,,,,0,0,0,0,,,0,0
