mode,period,selection,n,manshu_rate,target_arare_rate,head2_win_rate,axis_any_top3_rate,toss_success_rate,role_core_success_rate,role_strict_success_rate
morning,train_to_2026-05-04,all,14761,0.1639455321455186,0.3000474222613644,0.3521441636745478,0.8918772440891538,0.7281349502066256,0.23792425987399227,0.05101280401056839
morning,train_to_2026-05-04,skip_excluded,9113,0.16383188851091846,0.299901239986832,0.35158564687808624,0.8930099857346647,0.7487106331614177,0.24437616591682212,0.05333040711072095
morning,train_to_2026-05-04,chaos_top5_per_day,500,0.232,0.47,0.348,0.828,0.558,0.2,0.038
morning,train_to_2026-05-04,chaos_top10_per_day,1000,0.211,0.443,0.36,0.813,0.541,0.2,0.041
morning,valid_after_2026-05-04,all,6186,0.16682832201745879,0.3061752344002586,0.3574199806013579,0.8870029097963142,0.7306821855803427,0.24183640478499838,0.049466537342386034
morning,valid_after_2026-05-04,skip_excluded,3915,0.1665389527458493,0.31008939974457217,0.3591315453384419,0.8825031928480205,0.7484035759897829,0.24929757343550446,0.05006385696040869
morning,valid_after_2026-05-04,chaos_top5_per_day,215,0.2186046511627907,0.4418604651162791,0.31627906976744186,0.8,0.5581395348837209,0.18604651162790697,0.037209302325581395
morning,valid_after_2026-05-04,chaos_top10_per_day,430,0.21395348837209302,0.40930232558139534,0.3302325581395349,0.8116279069767441,0.5790697674418605,0.2,0.037209302325581395
preview,train_to_2026-05-04,all,14761,0.1639455321455186,0.3000474222613644,0.4181965991463993,0.8704017342998441,0.7281349502066256,0.2816204864169094,0.05670347537429713
preview,train_to_2026-05-04,skip_excluded,10013,0.16268850494357334,0.2977129731349246,0.4195545790472386,0.8718665734545091,0.7471287326475582,0.2890242684510137,0.059722360930789975
preview,train_to_2026-05-04,chaos_top5_per_day,500,0.232,0.47,0.34,0.828,0.558,0.196,0.054
preview,train_to_2026-05-04,chaos_top10_per_day,1000,0.211,0.443,0.347,0.816,0.541,0.188,0.044
preview,valid_after_2026-05-04,all,6186,0.16682832201745879,0.3061752344002586,0.4130294212738442,0.8735855156805691,0.7306821855803427,0.2793404461687682,0.05609440672486259
preview,valid_after_2026-05-04,skip_excluded,4301,0.1643803766565915,0.30458033015577773,0.40781213671239247,0.8721227621483376,0.744013020227854,0.27946989072308764,0.05533596837944664
preview,valid_after_2026-05-04,chaos_top5_per_day,215,0.2186046511627907,0.4418604651162791,0.3395348837209302,0.8046511627906977,0.5581395348837209,0.2,0.037209302325581395
preview,valid_after_2026-05-04,chaos_top10_per_day,430,0.21395348837209302,0.40930232558139534,0.3372093023255814,0.7976744186046512,0.5790697674418605,0.19069767441860466,0.03953488372093023
