place_name,boat_number,feature,feature_phase,bin,n,baseline_n,win_rate_pct,baseline_win_rate_pct,win_delta_pp,win_lift,win_label,top3_rate_pct,baseline_top3_rate_pct,top3_delta_pp,top3_lift,top3_label,overall_label,score_head,score_axis
__ALL__,1,ai_3ren_pct,morning,20-30,592,192282,9.2905,55.3947,-46.1041,0.1677,超デバフ,23.3108,81.8985,-58.5877,0.2846,超デバフ,超デバフ,-15.0,-20.0
__ALL__,1,ai_3ren_pct,morning,30-40,1747,192282,12.2496,55.3947,-43.1451,0.2211,超デバフ,34.1156,81.8985,-47.7828,0.4166,超デバフ,超デバフ,-15.0,-20.0
__ALL__,1,ai_3ren_pct,morning,40-50,4230,192282,16.9504,55.3947,-38.4443,0.306,超デバフ,45.1064,81.8985,-36.7921,0.5508,超デバフ,超デバフ,-15.0,-20.0
__ALL__,1,ai_3ren_pct,morning,50-60,9790,192282,23.1154,55.3947,-32.2793,0.4173,超デバフ,55.0358,81.8985,-26.8627,0.672,超デバフ,超デバフ,-15.0,-20.0
__ALL__,1,ai_3ren_pct,morning,60+,173822,192282,58.7463,55.3947,3.3516,1.0605,中立,85.0347,81.8985,3.1362,1.0383,中立,中立,3.3516,3.1362
__ALL__,1,ai_3ren_pct,morning,<20,126,192282,2.381,55.3947,-53.0137,0.043,超デバフ,7.9365,81.8985,-73.962,0.0969,超デバフ,超デバフ,-15.0,-20.0
__ALL__,1,ai_plus,morning,100-120,9047,192282,24.1627,55.3947,-31.232,0.4362,超デバフ,56.1181,81.8985,-25.7804,0.6852,超デバフ,超デバフ,-17.25,-23.0
__ALL__,1,ai_plus,morning,120-140,19967,192282,32.148,55.3947,-23.2466,0.5803,超デバフ,66.0089,81.8985,-15.8895,0.806,デバフ,超デバフ,-17.25,-18.273
__ALL__,1,ai_plus,morning,140+,155748,192282,61.4711,55.3947,6.0764,1.1097,バフ,86.7825,81.8985,4.884,1.0596,中立,バフ,6.9879,5.6166
__ALL__,1,ai_plus,morning,60-80,1221,192282,16.9533,55.3947,-38.4414,0.306,超デバフ,40.3767,81.8985,-41.5217,0.493,超デバフ,超デバフ,-17.25,-23.0
__ALL__,1,ai_plus,morning,80-100,3195,192282,19.8122,55.3947,-35.5825,0.3577,超デバフ,48.6072,81.8985,-33.2913,0.5935,超デバフ,超デバフ,-17.25,-23.0
