mode,scope,formation,n,avg_points,hit_count,hit_rate,manshu_hit_count,manshu_hit_rate,manshu_capture_rate,target_arare_hit_count,target_arare_hit_rate,target_arare_capture_rate,avg_hit_payout_yen,median_hit_payout_yen,max_hit_payout_yen,reference_return_rate_100yen_each,period
morning,all,A,14761,24.0,3999,0.2709166045660863,563,0.038141047354515276,0.23264462809917355,1222,0.08278571912472055,0.27590878302099797,5685.65391347837,2690,237130,0.6418075220739335,train_to_2026-05-04
morning,all,B,14761,18.0,2793,0.18921482284398075,435,0.029469548133595286,0.1797520661157025,915,0.06198767021204525,0.2065929103635132,6131.271034729682,2850,182690,0.6445152014693374,train_to_2026-05-04
morning,all,C,14761,12.0,2258,0.15297066594404174,267,0.018088205406137797,0.1103305785123967,635,0.04301876566628277,0.14337322194626326,5096.151461470327,2465.0,138200,0.649634735677348,train_to_2026-05-04
morning,all,D,14761,9.0,1786,0.12099451256689926,218,0.014768647110629361,0.09008264462809917,484,0.032789106429103716,0.10927974712124633,5087.956326987682,2530.0,237130,0.684016439717273,train_to_2026-05-04
morning,skip_excluded,A,9113,24.0,2554,0.2802589707011961,360,0.0395040052672007,0.24112525117213665,781,0.08570174476023264,0.2857665568971826,5488.433829287393,2770.0,107140,0.640909506565712,train_to_2026-05-04
morning,skip_excluded,B,9113,18.0,1804,0.1979589597278613,276,0.030286404038187206,0.18486269256530474,586,0.06430374190716559,0.21441639224295647,5890.731707317073,2860.0,107140,0.6478461782313423,train_to_2026-05-04
morning,skip_excluded,C,9113,12.0,1468,0.1610885548118073,170,0.01865466915395589,0.11386470194239785,404,0.04433227257763634,0.1478229052323454,4953.719346049046,2445.0,107140,0.6649895753319434,train_to_2026-05-04
morning,skip_excluded,D,9113,9.0,1165,0.12783935037858005,141,0.015472402062986942,0.09444072337575352,317,0.034785471304729504,0.11598975484815222,4921.37339055794,2610,107140,0.6990501969103966,train_to_2026-05-04
morning,chaos_top5_per_day,A,500,24.0,120,0.24,23,0.046,0.19827586206896552,49,0.098,0.20851063829787234,7264.916666666667,4125.0,84110,0.7264916666666666,train_to_2026-05-04
morning,chaos_top5_per_day,B,500,18.0,77,0.154,16,0.032,0.13793103448275862,34,0.068,0.14468085106382977,8427.402597402597,4250,84110,0.7210111111111112,train_to_2026-05-04
