segment,buy_races,total_points,stake_yen,payback_yen,profit_yen,roi_pct,hit_rate_pct,manshu_hit_rate_pct
戸田,8,25,2500,52780,50280,2111.2,25.0,12.5
浜名湖,8,25,2500,9450,6950,378.0,12.5,0.0
若松,8,29,2900,0,-2900,0.0,0.0,0.0
丸亀,7,27,2700,0,-2700,0.0,0.0,0.0
平和島,6,12,1200,21300,20100,1775.0,16.67,16.67
宮島,6,22,2200,0,-2200,0.0,0.0,0.0
下関,5,14,1400,0,-1400,0.0,0.0,0.0
びわこ,4,10,1000,0,-1000,0.0,0.0,0.0
大村,4,14,1400,0,-1400,0.0,0.0,0.0
尼崎,4,11,1100,0,-1100,0.0,0.0,0.0
津,4,13,1300,0,-1300,0.0,0.0,0.0
三国,3,10,1000,0,-1000,0.0,0.0,0.0
住之江,3,12,1200,0,-1200,0.0,0.0,0.0
児島,3,7,700,0,-700,0.0,0.0,0.0
唐津,3,10,1000,0,-1000,0.0,0.0,0.0
常滑,3,11,1100,0,-1100,0.0,0.0,0.0
蒲郡,3,13,1300,0,-1300,0.0,0.0,0.0
鳴門,2,10,1000,13340,12340,1334.0,50.0,50.0
芦屋,2,3,300,0,-300,0.0,0.0,0.0
多摩川,1,4,400,19110,18710,4777.5,100.0,100.0
徳山,1,2,200,0,-200,0.0,0.0,0.0
福岡,1,1,100,0,-100,0.0,0.0,0.0
