segment,buy_races,total_points,stake_yen,payback_yen,profit_yen,roi_pct,hit_rate_pct,manshu_hit_rate_pct
2024-01,5,15,1500,0,-1500,0.0,0.0,0.0
2024-02,3,8,800,0,-800,0.0,0.0,0.0
2024-03,1,3,300,0,-300,0.0,0.0,0.0
2024-04,4,14,1400,0,-1400,0.0,0.0,0.0
2024-05,2,8,800,0,-800,0.0,0.0,0.0
2024-06,2,6,600,0,-600,0.0,0.0,0.0
2024-07,8,21,2100,3090,990,147.14,12.5,0.0
2024-08,1,2,200,0,-200,0.0,0.0,0.0
2024-09,3,5,500,0,-500,0.0,0.0,0.0
2024-10,2,8,800,0,-800,0.0,0.0,0.0
2024-11,4,13,1300,0,-1300,0.0,0.0,0.0
2024-12,3,6,600,0,-600,0.0,0.0,0.0
2025-01,6,19,1900,0,-1900,0.0,0.0,0.0
2025-02,4,19,1900,13340,11440,702.11,25.0,25.0
2025-03,4,9,900,0,-900,0.0,0.0,0.0
2025-04,7,19,1900,0,-1900,0.0,0.0,0.0
2025-05,2,6,600,0,-600,0.0,0.0,0.0
2025-06,1,6,600,0,-600,0.0,0.0,0.0
2025-07,4,13,1300,70890,69590,5453.08,50.0,50.0
2025-08,3,9,900,0,-900,0.0,0.0,0.0
2025-09,1,2,200,0,-200,0.0,0.0,0.0
2025-10,5,20,2000,9450,7450,472.5,20.0,0.0
2025-11,6,18,1800,0,-1800,0.0,0.0,0.0
2025-12,2,8,800,0,-800,0.0,0.0,0.0
2026-01,7,22,2200,0,-2200,0.0,0.0,0.0
2026-02,3,7,700,0,-700,0.0,0.0,0.0
2026-03,4,10,1000,0,-1000,0.0,0.0,0.0
2026-04,9,29,2900,21300,18400,734.48,11.11,11.11
2026-05,6,21,2100,1000,-1100,47.62,16.67,0.0
2026-06,5,17,1700,0,-1700,0.0,0.0,0.0
