segment,buy_races,total_points,stake_yen,payback_yen,profit_yen,roi_pct,hit_rate_pct,manshu_hit_rate_pct
戸田,11,33,3300,52780,49480,1599.39,18.18,9.09
平和島,11,28,2800,21300,18500,760.71,9.09,9.09
浜名湖,11,31,3100,12540,9440,404.52,18.18,0.0
丸亀,9,31,3100,0,-3100,0.0,0.0,0.0
宮島,8,26,2600,0,-2600,0.0,0.0,0.0
尼崎,8,25,2500,0,-2500,0.0,0.0,0.0
若松,7,24,2400,0,-2400,0.0,0.0,0.0
大村,6,19,1900,0,-1900,0.0,0.0,0.0
下関,5,14,1400,0,-1400,0.0,0.0,0.0
児島,5,14,1400,0,-1400,0.0,0.0,0.0
多摩川,4,12,1200,19110,17910,1592.5,25.0,25.0
びわこ,4,10,1000,0,-1000,0.0,0.0,0.0
住之江,4,15,1500,0,-1500,0.0,0.0,0.0
唐津,4,14,1400,0,-1400,0.0,0.0,0.0
常滑,4,13,1300,0,-1300,0.0,0.0,0.0
津,4,13,1300,0,-1300,0.0,0.0,0.0
蒲郡,3,13,1300,0,-1300,0.0,0.0,0.0
鳴門,2,8,800,13340,12540,1667.5,50.0,50.0
三国,2,6,600,0,-600,0.0,0.0,0.0
福岡,2,5,500,0,-500,0.0,0.0,0.0
芦屋,2,5,500,0,-500,0.0,0.0,0.0
徳山,1,4,400,0,-400,0.0,0.0,0.0
