segment,watch_races,buy_races,total_points,avg_points,stake_yen,payback_yen,profit_yen,roi_pct,hit_rate_pct,manshu_hit_rate_pct,over5000_hit_rate_pct,max_losing_streak,max_drawdown_yen
2026-04,14,14,168,12.0,16800,23280,6480,138.57,14.29,7.14,7.14,5,7620
2025-11,11,11,132,12.0,13200,0,-13200,0.0,0.0,0.0,0.0,11,13200
2025-03,11,11,132,12.0,13200,7520,-5680,56.97,18.18,0.0,9.09,8,9600
2026-01,11,11,132,12.0,13200,4150,-9050,31.44,9.09,0.0,0.0,6,9050
2025-04,10,10,120,12.0,12000,3080,-8920,25.67,20.0,0.0,0.0,6,8920
2026-03,9,9,108,12.0,10800,12380,1580,114.63,22.22,0.0,22.22,5,6000
2025-10,8,8,96,12.0,9600,9450,-150,98.44,12.5,0.0,12.5,4,4800
2026-05,8,8,96,12.0,9600,1000,-8600,10.42,12.5,0.0,0.0,7,8600
2026-02,8,8,96,12.0,9600,2180,-7420,22.71,12.5,0.0,0.0,5,7420
2025-12,7,7,84,12.0,8400,5830,-2570,69.4,42.86,0.0,0.0,3,4220
2025-01,7,7,84,12.0,8400,0,-8400,0.0,0.0,0.0,0.0,7,8400
2025-02,7,7,84,12.0,8400,13340,4940,158.81,14.29,14.29,14.29,5,6000
2025-06,7,7,84,12.0,8400,2870,-5530,34.17,14.29,0.0,0.0,6,7200
2025-09,6,6,72,12.0,7200,11160,3960,155.0,50.0,0.0,16.67,1,1750
2025-08,6,6,72,12.0,7200,5920,-1280,82.22,16.67,0.0,16.67,3,3600
2025-07,6,6,72,12.0,7200,75190,67990,1044.31,66.67,33.33,33.33,1,1200
2026-06,6,6,72,12.0,7200,0,-7200,0.0,0.0,0.0,0.0,6,7200
2025-05,4,4,48,12.0,4800,0,-4800,0.0,0.0,0.0,0.0,4,4800
