segment,watch_races,buy_races,total_points,avg_points,stake_yen,payback_yen,profit_yen,roi_pct,hit_rate_pct,manshu_hit_rate_pct,over5000_hit_rate_pct,max_losing_streak,max_drawdown_yen
平和島,6,6,72,12.0,7200,21300,14100,295.83,16.67,16.67,16.67,5,6000
尼崎,5,5,60,12.0,6000,9380,3380,156.33,40.0,0.0,20.0,2,2400
若松,5,5,60,12.0,6000,0,-6000,0.0,0.0,0.0,0.0,5,6000
戸田,5,5,60,12.0,6000,1000,-5000,16.67,20.0,0.0,0.0,2,5000
浜名湖,5,5,60,12.0,6000,9330,3330,155.5,40.0,0.0,20.0,2,2400
蒲郡,3,3,36,12.0,3600,0,-3600,0.0,0.0,0.0,0.0,3,3600
下関,3,3,36,12.0,3600,0,-3600,0.0,0.0,0.0,0.0,3,3600
児島,3,3,36,12.0,3600,0,-3600,0.0,0.0,0.0,0.0,3,3600
大村,3,3,36,12.0,3600,0,-3600,0.0,0.0,0.0,0.0,3,3600
宮島,3,3,36,12.0,3600,0,-3600,0.0,0.0,0.0,0.0,3,3600
津,3,3,36,12.0,3600,0,-3600,0.0,0.0,0.0,0.0,3,3600
丸亀,2,2,24,12.0,2400,0,-2400,0.0,0.0,0.0,0.0,2,2400
住之江,2,2,24,12.0,2400,1980,-420,82.5,50.0,0.0,0.0,1,1200
徳山,2,2,24,12.0,2400,0,-2400,0.0,0.0,0.0,0.0,2,2400
福岡,2,2,24,12.0,2400,0,-2400,0.0,0.0,0.0,0.0,2,2400
芦屋,1,1,12,12.0,1200,0,-1200,0.0,0.0,0.0,0.0,1,1200
びわこ,1,1,12,12.0,1200,0,-1200,0.0,0.0,0.0,0.0,1,1200
三国,1,1,12,12.0,1200,0,-1200,0.0,0.0,0.0,0.0,1,1200
常滑,1,1,12,12.0,1200,0,-1200,0.0,0.0,0.0,0.0,1,1200
