date,month,place_name,round,race_id,morning_rank,post_rate_pct,rule,buy,points,stake_yen,payback_yen,payout_yen,trifecta,hit,is_manshu,is_over5000,heads,axes,keshi,tickets,checks
2026-01-01,2026-01,浜名湖,5,2026-01-010605,1,30.54,skip_rate_ng,0,0,0,0,2620,236,0,0,0,,,,,展示後38%未満:NG(30.54%)
2026-01-01,2026-01,鳴門,8,2026-01-011408,2,32.04,skip_missing_exhibition,0,0,0,0,4700,254,0,0,0,,,,,展示/1周6艇未満
2026-01-01,2026-01,丸亀,3,2026-01-011503,3,37.61,skip_rate_ng,0,0,0,0,2730,324,0,0,0,,,,,展示後38%未満:NG(37.61%)
2026-01-01,2026-01,蒲郡,4,2026-01-010704,4,36.63,skip_rate_ng,0,0,0,0,15780,563,0,1,1,,,,,展示後38%未満:NG(36.63%)
2026-01-01,2026-01,鳴門,9,2026-01-011409,5,35.05,skip_missing_exhibition,0,0,0,0,1400,142,0,0,0,,,,,展示/1周6艇未満
2026-01-01,2026-01,蒲郡,5,2026-01-010705,6,37.27,skip_rate_ng,0,0,0,0,35530,654,0,1,1,,,,,展示後38%未満:NG(37.27%)
2026-01-01,2026-01,宮島,10,2026-01-011710,7,29.72,skip_rate_ng,0,0,0,0,3520,462,0,0,0,,,,,展示後38%未満:NG(29.72%)
2026-01-01,2026-01,若松,2,2026-01-012002,8,31.79,skip_rate_ng,0,0,0,0,13620,163,0,1,1,,,,,展示後38%未満:NG(31.79%)
2026-01-01,2026-01,丸亀,7,2026-01-011507,9,25.14,skip_rate_ng,0,0,0,0,5530,321,0,0,1,,,,,展示後38%未満:NG(25.14%)
2026-01-01,2026-01,津,4,2026-01-010904,10,33.91,skip_rate_ng,0,0,0,0,8610,214,0,0,1,,,,,展示後38%未満:NG(33.91%)
2026-01-02,2026-01,津,4,2026-01-020904,1,32.94,skip_missing_exhibition,0,0,0,0,7890,251,0,0,1,,,,,展示/1周6艇未満
2026-01-02,2026-01,鳴門,5,2026-01-021405,2,33.91,skip_rate_ng,0,0,0,0,7930,543,0,0,1,,,,,展示後38%未満:NG(33.91%)
2026-01-02,2026-01,丸亀,2,2026-01-021502,3,40.0,skip_missing_exhibition,0,0,0,0,12740,143,0,1,1,,,,,展示/1周6艇未満
2026-01-02,2026-01,丸亀,3,2026-01-021503,4,30.96,skip_missing_exhibition,0,0,0,0,1320,236,0,0,0,,,,,展示/1周6艇未満
2026-01-02,2026-01,江戸川,5,2026-01-020305,5,29.64,skip_missing_exhibition,0,0,0,0,5570,341,0,0,1,,,,,展示/1周6艇未満
2026-01-02,2026-01,三国,9,2026-01-021009,6,35.05,skip_missing_exhibition,0,0,0,0,9460,542,0,0,1,,,,,展示/1周6艇未満
2026-01-02,2026-01,芦屋,8,2026-01-022108,7,31.74,skip_rate_ng,0,0,0,0,2170,346,0,0,0,,,,,展示後38%未満:NG(31.74%)
2026-01-02,2026-01,鳴門,10,2026-01-021410,8,30.34,skip_rate_ng,0,0,0,0,3910,341,0,0,0,,,,,展示後38%未満:NG(30.34%)
2026-01-02,2026-01,宮島,9,2026-01-021709,9,32.44,skip_rate_ng,0,0,0,0,8150,164,0,0,1,,,,,展示後38%未満:NG(32.44%)
2026-01-02,2026-01,蒲郡,3,2026-01-020703,10,32.71,skip_rate_ng,0,0,0,0,1210,145,0,0,0,,,,,展示後38%未満:NG(32.71%)
2026-01-03,2026-01,徳山,7,2026-01-031807,1,29.44,skip_rate_ng,0,0,0,0,1370,362,0,0,0,,,,,展示後38%未満:NG(29.44%)
2026-01-03,2026-01,桐生,3,2026-01-030103,2,29.54,skip_missing_exhibition,0,0,0,0,87240,615,0,1,1,,,,,展示/1周6艇未満
2026-01-03,2026-01,芦屋,7,2026-01-032107,3,32.94,skip_rate_ng,0,0,0,0,27320,465,0,1,1,,,,,展示後38%未満:NG(32.94%)
2026-01-03,2026-01,丸亀,5,2026-01-031505,4,32.94,skip_rate_ng,0,0,0,0,1240,426,0,0,0,,,,,展示後38%未満:NG(32.94%)
2026-01-03,2026-01,びわこ,7,2026-01-031107,5,32.94,skip_rate_ng,0,0,0,0,5170,214,0,0,1,,,,,展示後38%未満:NG(32.94%)
2026-01-03,2026-01,桐生,4,2026-01-030104,6,35.05,skip_missing_exhibition,0,0,0,0,16740,346,0,1,1,,,,,展示/1周6艇未満
2026-01-03,2026-01,戸田,3,2026-01-030203,7,32.94,skip_rate_ng,0,0,0,0,6990,135,0,0,1,,,,,展示後38%未満:NG(32.94%)
2026-01-03,2026-01,徳山,11,2026-01-031811,8,29.11,skip_rate_ng,0,0,0,0,6830,143,0,0,1,,,,,展示後38%未満:NG(29.11%)
2026-01-03,2026-01,大村,6,2026-01-032406,9,38.47,subcore,1,12,1200,0,3690,153,0,0,0,"3,5","1,4",2.0,315 316 345 346 351 354 361 364 513 514 516 541,"展示後38〜39.9%:OK(38.47%) / 1号艇危険:OK / 1AI予測23.7% / 1逃げ19.2% / 1逃げ失敗53.8% / 1展示+周平均との差-0.72 / 外頭2艇の2番手まで強い:OK(頭3,5,下限35.6) / 5/6絡み:OK / 内軸残り:OK(軸1,4) / 軸ルール:AI3連対率+一般3連対率の1位と3位（頭と重なる時はAI3連対率+一般3連対率の2位と3位で補完）"
2026-01-03,2026-01,浜名湖,2,2026-01-030602,10,38.2,skip_subcore_conditions_ng,0,0,0,0,1270,123,0,0,0,,,,,"展示後38〜39.9%:OK(38.20%) / 1号艇危険:OK / 1AI予測28.4% / 1逃げ22.7% / 1逃げ失敗68.2% / 1展示+周平均との差0.84 / 外頭2艇の2番手まで強い:NG(頭6,3,下限27.9) / 5/6絡み:OK / 内軸残り:NG(軸2) / 軸ルール:AI3連対率+一般3連対率の1位と3位（頭と重なる時はAI3連対率+一般3連対率の2位と3位で補完）"
2026-01-04,2026-01,桐生,2,2026-01-040102,1,35.05,skip_missing_exhibition,0,0,0,0,1330,234,0,0,0,,,,,展示/1周6艇未満
2026-01-04,2026-01,桐生,3,2026-01-040103,2,32.44,skip_missing_exhibition,0,0,0,0,11690,534,0,1,1,,,,,展示/1周6艇未満
2026-01-04,2026-01,住之江,3,2026-01-041203,3,38.47,skip_subcore_conditions_ng,0,0,0,0,9230,312,0,0,1,,,,,"展示後38〜39.9%:OK(38.47%) / 1号艇危険:OK / 1AI予測4.3% / 1逃げ20.0% / 1逃げ失敗70.0% / 1展示+周平均との差-0.31 / 外頭2艇の2番手まで強い:NG(頭3,6,下限28.1) / 5/6絡み:OK / 内軸残り:NG(軸5) / 軸ルール:AI3連対率+一般3連対率の1位と3位（頭と重なる時はAI3連対率+一般3連対率の2位と3位で補完）"
2026-01-04,2026-01,戸田,2,2026-01-040202,4,37.83,skip_rate_ng,0,0,0,0,7200,534,0,0,1,,,,,展示後38%未満:NG(37.83%)
2026-01-04,2026-01,尼崎,3,2026-01-041303,5,40.0,core,1,12,1200,0,1400,213,0,0,0,"5,2","5,3",6.0,215 235 245 251 253 254 513 523 531 532 534 543,展示後40%以上:OK(40.00%)
2026-01-04,2026-01,江戸川,2,2026-01-040302,6,31.14,skip_missing_exhibition,0,0,0,0,3260,341,0,0,0,,,,,展示/1周6艇未満
2026-01-04,2026-01,尼崎,2,2026-01-041302,7,32.34,skip_rate_ng,0,0,0,0,2600,251,0,0,0,,,,,展示後38%未満:NG(32.34%)
2026-01-04,2026-01,住之江,2,2026-01-041202,8,30.72,skip_rate_ng,0,0,0,0,1500,123,0,0,0,,,,,展示後38%未満:NG(30.72%)
2026-01-04,2026-01,徳山,8,2026-01-041808,9,32.94,skip_rate_ng,0,0,0,0,4170,264,0,0,0,,,,,展示後38%未満:NG(32.94%)
2026-01-04,2026-01,津,11,2026-01-040911,10,32.6,skip_missing_exhibition,0,0,0,0,1720,124,0,0,0,,,,,展示/1周6艇未満
2026-01-05,2026-01,戸田,2,2026-01-050202,1,40.0,core,1,12,1200,0,3710,356,0,0,0,"3,5","3,2",4.0,325 326 352 362 513 521 523 526 531 532 536 562,展示後40%以上:OK(40.00%)
2026-01-05,2026-01,戸田,5,2026-01-050205,2,36.06,skip_rate_ng,0,0,0,0,1620,425,0,0,0,,,,,展示後38%未満:NG(36.06%)
2026-01-05,2026-01,江戸川,7,2026-01-050307,3,31.34,skip_missing_exhibition,0,0,0,0,2140,324,0,0,0,,,,,展示/1周6艇未満
2026-01-05,2026-01,平和島,4,2026-01-050404,4,33.91,skip_rate_ng,0,0,0,0,980,354,0,0,0,,,,,展示後38%未満:NG(33.91%)
2026-01-05,2026-01,尼崎,2,2026-01-051302,5,27.24,skip_rate_ng,0,0,0,0,5810,163,0,0,1,,,,,展示後38%未満:NG(27.24%)
2026-01-05,2026-01,鳴門,9,2026-01-051409,6,32.94,skip_rate_ng,0,0,0,0,1670,143,0,0,0,,,,,展示後38%未満:NG(32.94%)
2026-01-05,2026-01,びわこ,2,2026-01-051102,7,35.11,skip_rate_ng,0,0,0,0,3530,543,0,0,0,,,,,展示後38%未満:NG(35.11%)
2026-01-05,2026-01,江戸川,5,2026-01-050305,8,30.94,skip_missing_exhibition,0,0,0,0,37090,164,0,1,1,,,,,展示/1周6艇未満
2026-01-05,2026-01,大村,8,2026-01-052408,9,27.34,skip_rate_ng,0,0,0,0,1590,136,0,0,0,,,,,展示後38%未満:NG(27.34%)
2026-01-05,2026-01,丸亀,3,2026-01-051503,10,30.34,skip_rate_ng,0,0,0,0,8700,234,0,0,1,,,,,展示後38%未満:NG(30.34%)
2026-01-06,2026-01,戸田,5,2026-01-060205,1,35.73,skip_rate_ng,0,0,0,0,4500,432,0,0,0,,,,,展示後38%未満:NG(35.73%)
2026-01-06,2026-01,平和島,2,2026-01-060402,2,34.91,skip_rate_ng,0,0,0,0,2520,326,0,0,0,,,,,展示後38%未満:NG(34.91%)
2026-01-06,2026-01,平和島,3,2026-01-060403,3,40.0,core,1,12,1200,0,10960,214,0,1,1,"3,2","5,4",6.0,245 251 314 315 324 325 341 342 345 351 352 354,展示後40%以上:OK(40.00%)
2026-01-06,2026-01,びわこ,2,2026-01-061102,4,33.71,skip_rate_ng,0,0,0,0,18110,153,0,1,1,,,,,展示後38%未満:NG(33.71%)
2026-01-06,2026-01,江戸川,6,2026-01-060306,5,31.94,skip_missing_exhibition,0,0,0,0,30360,512,0,1,1,,,,,展示/1周6艇未満
2026-01-06,2026-01,鳴門,6,2026-01-061406,6,36.06,skip_rate_ng,0,0,0,0,8100,243,0,0,1,,,,,展示後38%未満:NG(36.06%)
2026-01-06,2026-01,戸田,1,2026-01-060201,7,29.44,skip_rate_ng,0,0,0,0,17440,416,0,1,1,,,,,展示後38%未満:NG(29.44%)
2026-01-06,2026-01,大村,6,2026-01-062406,8,32.17,skip_rate_ng,0,0,0,0,4020,321,0,0,0,,,,,展示後38%未満:NG(32.17%)
2026-01-06,2026-01,鳴門,2,2026-01-061402,9,38.47,skip_subcore_conditions_ng,0,0,0,0,1040,326,0,0,0,,,,,"展示後38〜39.9%:OK(38.47%) / 1号艇危険:OK / 1AI予測25.5% / 1逃げ18.8% / 1逃げ失敗46.9% / 1展示+周平均との差-0.16 / 外頭2艇の2番手まで強い:NG(頭3,2,下限38.3) / 5/6絡み:NG / 内軸残り:NG(軸1) / 軸ルール:AI3連対率+一般3連対率の1位と3位（頭と重なる時はAI3連対率+一般3連対率の2位と3位で補完）"
2026-01-06,2026-01,児島,4,2026-01-061604,10,36.06,skip_rate_ng,0,0,0,0,28530,165,0,1,1,,,,,展示後38%未満:NG(36.06%)
2026-01-07,2026-01,江戸川,7,2026-01-070307,1,35.7,skip_missing_exhibition,0,0,0,0,4230,135,0,0,0,,,,,展示/1周6艇未満
2026-01-07,2026-01,児島,7,2026-01-071607,2,34.86,skip_rate_ng,0,0,0,0,1440,642,0,0,0,,,,,展示後38%未満:NG(34.86%)
2026-01-07,2026-01,児島,10,2026-01-071610,3,32.94,skip_rate_ng,0,0,0,0,4990,623,0,0,0,,,,,展示後38%未満:NG(32.94%)
2026-01-07,2026-01,多摩川,4,2026-01-070504,4,35.11,skip_rate_ng,0,0,0,0,2080,251,0,0,0,,,,,展示後38%未満:NG(35.11%)
2026-01-07,2026-01,三国,6,2026-01-071006,5,37.7,skip_rate_ng,0,0,0,0,1750,136,0,0,0,,,,,展示後38%未満:NG(37.70%)
2026-01-07,2026-01,江戸川,3,2026-01-070303,6,30.77,skip_missing_exhibition,0,0,0,0,17620,153,0,1,1,,,,,展示/1周6艇未満
2026-01-07,2026-01,下関,2,2026-01-071902,7,33.04,skip_missing_exhibition,0,0,0,0,710,124,0,0,0,,,,,展示/1周6艇未満
2026-01-07,2026-01,下関,1,2026-01-071901,8,26.59,skip_rate_ng,0,0,0,0,1790,312,0,0,0,,,,,展示後38%未満:NG(26.59%)
2026-01-07,2026-01,平和島,6,2026-01-070406,9,29.29,skip_rate_ng,0,0,0,0,7350,256,0,0,1,,,,,展示後38%未満:NG(29.29%)
2026-01-07,2026-01,住之江,4,2026-01-071204,10,30.31,skip_rate_ng,0,0,0,0,4980,436,0,0,0,,,,,展示後38%未満:NG(30.31%)
2026-01-08,2026-01,児島,3,2026-01-081603,1,33.71,skip_rate_ng,0,0,0,0,24060,623,0,1,1,,,,,展示後38%未満:NG(33.71%)
2026-01-08,2026-01,児島,4,2026-01-081604,2,36.06,skip_rate_ng,0,0,0,0,21030,654,0,1,1,,,,,展示後38%未満:NG(36.06%)
2026-01-08,2026-01,三国,6,2026-01-081006,3,26.77,skip_missing_exhibition,0,0,0,0,67150,532,0,1,1,,,,,展示/1周6艇未満
2026-01-08,2026-01,びわこ,7,2026-01-081107,4,32.34,skip_rate_ng,0,0,0,0,1360,213,0,0,0,,,,,展示後38%未満:NG(32.34%)
2026-01-08,2026-01,蒲郡,1,2026-01-080701,5,25.04,skip_rate_ng,0,0,0,0,1130,135,0,0,0,,,,,展示後38%未満:NG(25.04%)
2026-01-08,2026-01,蒲郡,3,2026-01-080703,6,31.07,skip_rate_ng,0,0,0,0,50310,564,0,1,1,,,,,展示後38%未満:NG(31.07%)
2026-01-08,2026-01,尼崎,1,2026-01-081301,7,35.85,skip_rate_ng,0,0,0,0,1320,314,0,0,0,,,,,展示後38%未満:NG(35.85%)
2026-01-08,2026-01,戸田,12,2026-01-080212,8,31.54,skip_missing_exhibition,0,0,0,0,9400,451,0,0,1,,,,,展示/1周6艇未満
2026-01-08,2026-01,大村,10,2026-01-082410,9,28.52,skip_rate_ng,0,0,0,0,10230,216,0,1,1,,,,,展示後38%未満:NG(28.52%)
2026-01-08,2026-01,若松,3,2026-01-082003,10,30.61,skip_rate_ng,0,0,0,0,2750,135,0,0,0,,,,,展示後38%未満:NG(30.61%)
2026-01-09,2026-01,若松,2,2026-01-092002,1,32.94,skip_rate_ng,0,0,0,0,6300,342,0,0,1,,,,,展示後38%未満:NG(32.94%)
2026-01-09,2026-01,三国,5,2026-01-091005,2,29.57,skip_rate_ng,0,0,0,0,1860,465,0,0,0,,,,,展示後38%未満:NG(29.57%)
2026-01-09,2026-01,蒲郡,4,2026-01-090704,3,27.64,skip_rate_ng,0,0,0,0,12560,425,0,1,1,,,,,展示後38%未満:NG(27.64%)
