month,selected_races,manshu_hits,actual_manshu_rate_pct,lift_vs_all,avg_score,avg_predicted_manshu_rate_pct,avg_payout_yen
2025-01,155,29,18.71,1.13,18.96,35.78,6236.0
2025-02,140,28,20.0,1.21,18.76,35.58,8123.0
2025-03,155,24,15.48,0.93,18.71,35.53,8010.0
2025-04,150,39,26.0,1.57,18.28,35.1,9511.0
2025-05,155,23,14.84,0.9,18.84,35.66,8155.0
2025-06,150,35,23.33,1.41,18.82,35.64,8807.0
2025-07,155,35,22.58,1.36,19.03,35.85,8540.0
2025-08,155,35,22.58,1.36,18.98,35.8,7523.0
2025-09,150,34,22.67,1.37,18.5,35.33,8406.0
2025-10,155,32,20.65,1.25,18.42,35.24,7034.0
2025-11,150,31,20.67,1.25,18.34,35.16,7452.0
2025-12,155,25,16.13,0.97,18.99,35.81,6514.0
2026-01,155,31,20.0,1.21,19.11,35.93,7823.0
2026-02,140,32,22.86,1.38,18.51,35.33,7688.0
2026-03,155,22,14.19,0.86,18.78,35.6,6957.0
2026-04,150,28,18.67,1.13,18.68,35.5,7085.0
2026-05,155,28,18.06,1.09,18.85,35.67,6478.0
2026-06,90,18,20.0,1.21,19.52,36.34,9693.0
