place_name,selected_races,manshu_hits,actual_manshu_rate_pct,lift_vs_all,avg_score,avg_predicted_manshu_rate_pct,avg_payout_yen
江戸川,199,47,23.62,1.43,18.82,35.64,8393.0
戸田,153,27,17.65,1.07,18.75,35.57,6343.0
平和島,148,22,14.86,0.9,18.64,35.46,5744.0
鳴門,137,28,20.44,1.23,18.73,35.55,8492.0
浜名湖,137,24,17.52,1.06,18.79,35.61,6912.0
桐生,135,29,21.48,1.3,18.97,35.79,7663.0
三国,129,29,22.48,1.36,18.7,35.52,9512.0
多摩川,118,24,20.34,1.23,18.87,35.69,8047.0
丸亀,118,33,27.97,1.69,18.62,35.45,10301.0
尼崎,114,19,16.67,1.01,18.8,35.62,7060.0
常滑,111,22,19.82,1.2,18.87,35.69,7608.0
蒲郡,109,21,19.27,1.16,18.88,35.7,7549.0
津,109,19,17.43,1.05,18.67,35.49,7984.0
宮島,101,21,20.79,1.25,18.85,35.67,8244.0
福岡,99,23,23.23,1.4,18.6,35.42,10273.0
住之江,98,12,12.24,0.74,18.52,35.34,5478.0
びわこ,98,21,21.43,1.29,18.97,35.79,7194.0
唐津,94,13,13.83,0.83,18.81,35.63,5222.0
児島,92,22,23.91,1.44,18.66,35.48,9069.0
徳山,92,13,14.13,0.85,18.8,35.62,5181.0
下関,91,17,18.68,1.13,18.72,35.54,8872.0
若松,72,15,20.83,1.26,18.95,35.77,8280.0
大村,72,16,22.22,1.34,18.86,35.68,7768.0
芦屋,44,12,27.27,1.65,18.45,35.27,9224.0
